Importers,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
Bosnia and Herzegovina,4296,5722,4894,13715,21617,24400,20094,16941,16495,14732
"Venezuela, Bolivarian Republic of",156508,137740,169931,235914,126526,138126,22752,23495,20183,12510
Maldives,6650,5673,6165,13069,15187,32876,14415,14541,22310,11900
Zimbabwe,18433,16499,12654,30373,27497,32706,22349,57978,35001,10575
Jamaica,15999,6772,5238,6094,9073,17120,22079,9592,8516,10443
Lesotho,21812,18867,17124,20326,13586,12318,9933,9359,10637,10406
Gabon,8886,16309,13325,8188,21559,11651,14975,20885,16123,10146
Cuba,2820,3976,4616,8259,11251,6397,5157,5271,4027,9159
Namibia,13215,11516,16588,9446,21037,14287,12188,11021,16228,7952
Iceland,10622,11629,8809,7857,7492,7852,12274,9522,33126,7442
Mali,35857,37129,40024,37923,45587,64130,28422,29050,22293,7400
Somalia,83,25,5018,13071,3150,1400,1739,1855,5136,5875
Sudan (before 2012),11756,16992,0,0,0,0,0,0,0,5684
Suriname,5768,7591,4622,5933,18242,7216,11045,5301,5327,5203
Albania,3089,3533,7053,7583,10620,10575,7623,7235,12424,4716
Benin,11182,6184,5389,4327,4839,10613,17806,6457,11570,4652
Montenegro,2894,2773,3727,3679,7881,5992,7136,6589,5634,4494
Vanuatu,1997,3080,3796,3416,4552,4862,4406,6108,5128,4001
Solomon Islands,2852,5164,6252,4438,6832,6937,6978,8029,10140,3835
Bhutan,802,679,1236,3964,1261,732,978,2666,1449,3802
Aruba,2302,4986,5205,5980,7050,6026,3663,3360,2407,3788
Sierra Leone,5079,5992,5163,4903,4026,7883,6974,9334,8315,3738
Mauritania,6083,3432,5904,3854,5372,7283,3035,1051,1849,3579
Niger,2659,3358,5724,8577,4066,24054,12335,4824,6187,3170
Turkmenistan,3335,1835,1595,2535,18341,12283,7383,3597,2698,2801
Djibouti,1298,716,1155,2531,3067,1525,1987,7945,4587,2620
Samoa,665,2265,1272,2656,1974,1474,3226,794,2919,2404
"Micronesia, Federated States of",2167,1848,1830,1844,4084,3420,3761,3419,2365,2394
Barbados,1204,1393,1603,1297,2698,7199,4850,1355,1435,2198
Guyana,2317,2408,4878,4141,930,1337,1859,1716,1400,2104
Burundi,727,2623,1356,5614,7237,16187,2115,20493,3941,2046
Liberia,3285,4451,2595,5457,11036,10099,5692,2725,5169,2037
Gambia,5390,3248,1775,2521,1842,1025,1150,7649,1665,1986
Bahamas,1346,1578,5422,4927,4982,2623,8401,66200,2370,1867
Seychelles,1786,3448,4241,11964,3050,4416,4316,2147,3743,1735
Afghanistan,4071,12323,16498,10151,9022,9362,4857,2744,2876,1631
